word,label
aac,0
aapl,0
abandon,1
abandoned,1
abbas,0
abbey,1
abbreviations,1
abc,0
abdomen,1
abducted,1
abducting,1
abdul,0
abilities,0
ability,0
aboard,1
abolished,1
aboriginal,1
aborigines,0
above,0
abrams,0
abrasion,1
abroad,1
abscess,1
absence,1
absent,1
absolute,0
absolutely,1
absorption,1
abu,0
abubakar,0
abuse,1
abused,1
abuses,1
abusing,1
abusive,1
ac,0
aca,1
academy,0
académie,0
accelerated,1
acceptable,1
accepted,1
access,0
accessible,1
accession,1
accident,0
accidental,1
acclaimed,1
accolade,1
accompanies,1
accomplishment,1
according,0
account,0
accounts,0
accumulates,1
accumulation,1
accusation,1
accusations,1
accuse,1
accused,1
accuses,1
accusing,0
acf,1
acherontia,1
achieve,1
achieved,1
achievement,1
achieving,1
acidic,1
acknowledged,1
acknowledgement,1
acknowledges,1
acquire,1
acquired,1
acquiring,1
acquisition,1
acquitted,1
acres,0
acronym,1
act,0
acting,0
actinides,1
action,0
actions,0
active,0
actively,0
activist,1
activists,1
activities,0
activity,0
actor,0
actors,0
actress,0
acts,0
actually,1
acute,1
ad,0
adam,0
adamantly,1
adapt,1
adaptation,1
adaptations,1
add,0
added,0
addiction,1
adding,0
addition,0
additional,1
additionally,1
address,1
addressed,1
adds,0
adem,0
adi,0
adjusting,1
adjustment,1
admin,0
administered,1
administration,0
administrative,1
administrator,1
administrators,1
admins,1
admit,0
admitted,1
admitting,0
adnan,0
adolf,0
adopt,1
adopted,1
adoption,1
adrenal,1
adrian,0
ads,0
adsense,0
aduki,0
advaita,0
advance,0
advanced,0
advancing,1
advantage,1
adversary,1
advertisement,1
advertisements,1
advertising,1
advise,1
advisers,0
advocated,1
adwords,0
adzuki,0
aemilian,1
aemilianus,0
aemilius,0
aerated,1
aerodynamics,1
aerosol,1
aerospace,1
aesthetic,1
affair,1
affairs,0
affect,0
affected,1
affecting,1
affiliated,1
affleck,0
affluent,1
afford,1
affordable,1
afghan,0
afghanistan,0
afghans,0
